"","date","unit_session_id","Age","BHI_A_1_r","BHI_A_2_r","BHI_A_3","BHI_A_4","BHI_C_1","BHI_C_2_r","BHI_C_3","BHI_C_4_r","BHI_E_1","BHI_E_2_r","BHI_E_3_r","BHI_E_4","BHI_HH_1","BHI_HH_2_r","BHI_HH_3_r","BHI_HH_4_r","BHI_O_1","BHI_O_2_r","BHI_O_3","BHI_O_4","BHI_X_1_r","BHI_X_2","BHI_X_3","BHI_X_4_r","Corona","Curfew_1","Curfew_1_1","Curfew_1_2","Curfew_2","Curfew_2_1","Curfew_2_2","Curfew_2_3","Gender","Household_Size","Left_Right_Politics","Nationality","Residence","Risk_Duration","Risk_Freq","Risk_Quarantine","survey","ToP_Amount","ToP_Freqency","ToP_Inhouse","ToP_Ratio","Residence_County"
"58","2020-03-24 01:24:36",5323778,23,"4","2","3","4","5","1","5","2","4","2","4","4","2","1","1","1","2","1","4","5","1","5","5","1","7","2","","","1","1","1","1","1","5","4","DE","DE","13","0","1",1,"2","2","5","2","Bayern"
"63","2020-03-24 06:26:16",5328005,35,"3","3","3","3","4","4","3","2","3","2","4","4","3","2","2","3","4","1","2","4","1","2","3","1","7","1","1","1","1","1","1","1","1","4","4","DE","DE","","0","2",1,"1","1","3","2","Sachsen"
"64","2020-03-24 06:54:43",5328145,31,"4","4","3","4","4","3","4","2","4","2","4","4","4","1","1","1","4","1","4","5","2","3","4","2","5","2","","","1","1","1","2","1","1","4","DE","DE","","0","2",1,"2","2","4","2","Bremen"
"67","2020-03-24 07:46:00",5328608,27,"2","4","4","2","4","4","4","4","2","2","4","4","2","4","2","2","3","3","5","4","1","4","5","2","7","1","1","1","1","1","1","2","1","1","3","DE","DE","","0","2",1,"2","1","3","2","Nordrhein-Westfalen"
"68","2020-03-24 07:47:48",5328622,30,"4","4","3","2","4","4","4","2","3","1","3","4","5","1","1","3","3","1","3","4","1","4","5","1","6","2","","","1","1","1","1","1","2","2","DE","DE","7","1","1",1,"1","1","2","2","Bremen"
"70","2020-03-24 07:55:58",5328682,29,"4","3","4","4","3","2","4","1","5","2","5","2","4","2","4","3","5","1","5","5","1","4","4","1","2","1","1","1","1","1","1","1","1","2","3","DE","DE","","0","2",1,"2","2","2","2","Berlin"
"73","2020-03-24 08:07:16",5328780,30,"5","4","3","2","3","3","2","3","2","3","4","2","3","2","2","2","4","2","4","4","2","2","3","4","6","2","","","1","1","1","1","2","2","3","DE","DE","","0","2",1,"2","2","3","2","Sachsen"
"75","2020-03-24 08:18:26",5328898,31,"3","3","3","2","4","1","5","1","2","5","5","1","3","1","1","2","4","1","5","2","1","4","3","1","3","1","1","1","1","1","1","2","2","3","3","DE","DE","","0","2",1,"3","3","6","3","Berlin"
"76","2020-03-24 08:24:32",5328938,28,"4","4","3","3","5","3","4","3","4","2","3","4","4","3","4","4","4","1","5","5","1","4","5","1","7","1","1","1","1","1","1","2","1","4","4","US","DE","","0","2",1,"3","2","5","3","Sachsen"
"77","2020-03-24 08:32:41",5329025,27,"4","2","4","4","5","2","3","1","4","2","3","5","4","2","2","2","3","1","3","3","1","5","5","1","7","1","2","1","1","1","1","1","1","1","4","DE","DE","","0","2",1,"1","1","3","2","Hamburg"
"79","2020-03-24 08:37:51",5329067,57,"3","4","2","4","3","2","3","2","3","4","4","4","4","1","3","1","4","1","3","4","2","2","4","2","3","1","1","1","1","1","1","1","2","5","5","DE","DE","","0","2",1,"3","2","5","3","Baden-Wuerttemberg"
"92","2020-03-24 09:14:33",5329491,57,"5","4","2","1","4","4","4","3","5","4","4","2","3","1","3","1","4","1","5","3","1","4","4","2","5","1","1","1","1","1","1","2","2","2","1","DE","DE","","2","2",1,"3","2","5","2","Nordrhein-Westfalen"
"95","2020-03-24 09:26:22",5329666,30,"4","4","3","4","4","3","4","2","4","4","5","1","4","1","5","3","3","1","4","4","2","3","4","3","4","1","2","1","1","1","1","2","2","1","7","DE","DE","","0","2",1,"3","2","6","3","Hamburg"
"98","2020-03-24 09:54:00",5330056,30,"4","4","4","2","5","4","5","2","4","2","3","4","2","2","4","2","4","2","5","3","1","3","4","2","6","1","1","1","1","1","1","1","1","4","3","DE","DE","","1","2",1,"2","2","2","1","Thueringen"
"100","2020-03-24 10:18:47",5330550,37,"2","5","1","2","2","5","4","2","4","3","4","5","3","1","4","4","5","1","5","5","1","2","2","2","6","1","2","1","1","1","1","1","1","1","3","DE","DE","12","0","1",1,"2","2","2","1","Sachsen-Anhalt"
"101","2020-03-24 10:26:38",5330637,41,"4","5","4","3","5","3","4","2","4","2","4","4","2","1","1","1","5","1","3","5","2","2","4","2","8","2","","","1","1","1","1","1","2","7","DE","DE","","0","2",1,"2","2","6","3","Berlin"
"103","2020-03-24 10:34:22",5330747,27,"2","3","3","4","4","4","3","5","3","2","4","1","4","4","2","4","2","2","2","4","1","3","5","1","4","1","1","1","1","1","1","1","2","2","2","DE","DE","","0","2",1,"2","2","3","2","Berlin"
"104","2020-03-24 10:35:00",5330753,29,"4","3","4","2","2","4","2","3","4","3","4","3","3","3","2","3","3","2","4","3","2","4","4","3","7","2","","","1","1","1","2","1","2","4","DE","DE","","0","2",1,"1","1","4","2","Niedersachsen"
"105","2020-03-24 10:37:13",5330799,31,"2","3","3","5","4","3","4","2","2","2","4","1","4","4","2","1","2","1","4","4","1","4","4","1","7","2","","","1","1","1","1","1","1","3","DE","DE","","0","2",1,"1","1","3","2","Nordrhein-Westfalen"
"106","2020-03-24 10:38:50",5330838,31,"4","4","4","2","4","5","4","2","2","3","2","1","5","1","1","1","3","2","2","2","2","5","3","2","8","2","","","1","1","1","1","2","2","3","DE","DE","","0","2",1,"2","2","4","2","Nordrhein-Westfalen"
"107","2020-03-24 10:41:45",5330899,29,"3","2","3","5","5","3","5","4","1","3","3","4","5","1","3","3","5","1","5","5","1","5","5","1","1","1","1","1","1","1","1","1","1","3","6","DE","DE","25","2","1",1,"1","1","6","1","Baden-Wuerttemberg"
