"date","unit_session_id","Age","BHI_A_1_r","BHI_A_2_r","BHI_A_3","BHI_A_4","BHI_C_1","BHI_C_2_r","BHI_C_3","BHI_C_4_r","BHI_E_1","BHI_E_2_r","BHI_E_3_r","BHI_E_4","BHI_HH_1","BHI_HH_2_r","BHI_HH_3_r","BHI_HH_4_r","BHI_O_1","BHI_O_2_r","BHI_O_3","BHI_O_4","BHI_X_1_r","BHI_X_2","BHI_X_3","BHI_X_4_r","Corona","Curfew_1","Curfew_1_1","Curfew_1_2","Curfew_2","Curfew_2_1","Curfew_2_2","Curfew_2_3","Gender","Household_Size","Left_Right_Politics","Nationality","Residence","Risk_Duration","Risk_Freq","Risk_Quarantine","survey","ToP_Amount","ToP_Freqency","ToP_Inhouse","ToP_Ratio","Residence_County","version","BHI_HH_2","BHI_HH_3","BHI_HH_4","HH","BHI_E_2","BHI_E_3","E","BHI_X_1","BHI_X_4","X","BHI_A_1","BHI_A_2","A","BHI_C_2","BHI_C_4","C","BHI_O_2","O","Personal_Mobility_Restriction","Public_Transport_Restriction","Quarantine_Duration","continent","Germany","USA","German","American","Europe","Americas","Rest"
2020-03-24,5323778,23,4,2,3,4,5,1,5,2,4,2,4,4,2,1,1,1,2,1,4,5,1,5,5,1,7,2,NA,NA,1,1,1,1,1,5,4,"DE","DE",13,0,1,1,2,2,5,2,"Bayern","german",5,5,5,4.25,4,2,3.5,5,5,5,2,4,3.25,5,4,4.75,5,4,0,1,13,"Europe",1,0,1,0,1,0,0
2020-03-24,5328005,35,3,3,3,3,4,4,3,2,3,2,4,4,3,2,2,3,4,1,2,4,1,2,3,1,7,1,1,1,1,1,1,1,1,4,4,"DE","DE",NA,0,2,1,1,1,3,2,"Sachsen","german",4,4,3,3.5,4,2,3.25,5,5,3.75,3,3,3,2,4,3.25,5,3.75,1,1,0,"Europe",1,0,1,0,1,0,0
2020-03-24,5328145,31,4,4,3,4,4,3,4,2,4,2,4,4,4,1,1,1,4,1,4,5,2,3,4,2,5,2,NA,NA,1,1,1,2,1,1,4,"DE","DE",NA,0,2,1,2,2,4,2,"Bremen","german",5,5,5,4.75,4,2,3.5,4,4,3.75,2,2,2.75,3,4,3.75,5,4.5,0,0,0,"Europe",1,0,1,0,1,0,0
2020-03-24,5328608,27,2,4,4,2,4,4,4,4,2,2,4,4,2,4,2,2,3,3,5,4,1,4,5,2,7,1,1,1,1,1,1,2,1,1,3,"DE","DE",NA,0,2,1,2,1,3,2,"Nordrhein-Westfalen","german",2,4,4,3,4,2,3,5,4,4.5,4,2,3,2,2,3,3,3.75,1,0,0,"Europe",1,0,1,0,1,0,0
2020-03-24,5328622,30,4,4,3,2,4,4,4,2,3,1,3,4,5,1,1,3,3,1,3,4,1,4,5,1,6,2,NA,NA,1,1,1,1,1,2,2,"DE","DE",7,1,1,1,1,1,2,2,"Bremen","german",5,5,3,4.5,5,3,3.75,5,5,4.75,2,2,2.25,2,4,3.5,5,3.75,0,1,7,"Europe",1,0,1,0,1,0,0
2020-03-24,5328682,29,4,3,4,4,3,2,4,1,5,2,5,2,4,2,4,3,5,1,5,5,1,4,4,1,2,1,1,1,1,1,1,1,1,2,3,"DE","DE",NA,0,2,1,2,2,2,2,"Berlin","german",4,2,3,3.25,4,1,3,5,5,4.5,2,3,3.25,4,5,4,5,5,1,1,0,"Europe",1,0,1,0,1,0,0
2020-03-24,5328780,30,5,4,3,2,3,3,2,3,2,3,4,2,3,2,2,2,4,2,4,4,2,2,3,4,6,2,NA,NA,1,1,1,1,2,2,3,"DE","DE",NA,0,2,1,2,2,3,2,"Sachsen","german",4,4,4,3.75,3,2,2.25,4,2,2.75,1,2,2,3,3,2.75,4,4,0,1,0,"Europe",1,0,1,0,1,0,0
2020-03-24,5328898,31,3,3,3,2,4,1,5,1,2,5,5,1,3,1,1,2,4,1,5,2,1,4,3,1,3,1,1,1,1,1,1,2,2,3,3,"DE","DE",NA,0,2,1,3,3,6,3,"Berlin","german",5,5,4,4.25,1,1,1.25,5,5,4.25,3,3,2.75,5,5,4.75,5,4,1,0,0,"Europe",1,0,1,0,1,0,0
2020-03-24,5328938,28,4,4,3,3,5,3,4,3,4,2,3,4,4,3,4,4,4,1,5,5,1,4,5,1,7,1,1,1,1,1,1,2,1,4,4,"US","DE",NA,0,2,1,3,2,5,3,"Sachsen","german",3,2,2,2.75,4,3,3.75,5,5,4.75,2,2,2.5,3,3,3.75,5,4.75,1,0,0,"Europe",1,0,0,1,1,0,0
2020-03-24,5329025,27,4,2,4,4,5,2,3,1,4,2,3,5,4,2,2,2,3,1,3,3,1,5,5,1,7,1,2,1,1,1,1,1,1,1,4,"DE","DE",NA,0,2,1,1,1,3,2,"Hamburg","german",4,4,4,4,4,3,4,5,5,5,2,4,3.5,4,5,4.25,5,3.5,1,1,0,"Europe",1,0,1,0,1,0,0
2020-03-24,5329067,57,3,4,2,4,3,2,3,2,3,4,4,4,4,1,3,1,4,1,3,4,2,2,4,2,3,1,1,1,1,1,1,1,2,5,5,"DE","DE",NA,0,2,1,3,2,5,3,"Baden-Wuerttemberg","german",5,3,5,4.25,2,2,2.75,4,4,3.5,3,2,2.75,4,4,3.5,5,4,1,1,0,"Europe",1,0,1,0,1,0,0
2020-03-24,5329491,57,5,4,2,1,4,4,4,3,5,4,4,2,3,1,3,1,4,1,5,3,1,4,4,2,5,1,1,1,1,1,1,2,2,2,1,"DE","DE",NA,2,2,1,3,2,5,2,"Nordrhein-Westfalen","german",5,3,5,4,2,2,2.75,5,4,4.25,1,2,1.5,2,3,3.25,5,4.25,1,0,0,"Europe",1,0,1,0,1,0,0
2020-03-24,5329666,30,4,4,3,4,4,3,4,2,4,4,5,1,4,1,5,3,3,1,4,4,2,3,4,3,4,1,2,1,1,1,1,2,2,1,7,"DE","DE",NA,0,2,1,3,2,6,3,"Hamburg","german",5,1,3,3.25,2,1,2,4,3,3.5,2,2,2.75,3,4,3.75,5,4,1,0,0,"Europe",1,0,1,0,1,0,0
2020-03-24,5330056,30,4,4,4,2,5,4,5,2,4,2,3,4,2,2,4,2,4,2,5,3,1,3,4,2,6,1,1,1,1,1,1,1,1,4,3,"DE","DE",NA,1,2,1,2,2,2,1,"Thueringen","german",4,2,4,3,4,3,3.75,5,4,4,2,2,2.5,2,4,4,4,4,1,1,0,"Europe",1,0,1,0,1,0,0
2020-03-24,5330550,37,2,5,1,2,2,5,4,2,4,3,4,5,3,1,4,4,5,1,5,5,1,2,2,2,6,1,2,1,1,1,1,1,1,1,3,"DE","DE",12,0,1,1,2,2,2,1,"Sachsen-Anhalt","german",5,2,2,3,3,2,3.5,5,4,3.25,4,1,2,1,4,2.75,5,5,1,1,12,"Europe",1,0,1,0,1,0,0
2020-03-24,5330637,41,4,5,4,3,5,3,4,2,4,2,4,4,2,1,1,1,5,1,3,5,2,2,4,2,8,2,NA,NA,1,1,1,1,1,2,7,"DE","DE",NA,0,2,1,2,2,6,3,"Berlin","german",5,5,5,4.25,4,2,3.5,4,4,3.5,2,1,2.5,3,4,4,5,4.5,0,1,0,"Europe",1,0,1,0,1,0,0
2020-03-24,5330747,27,2,3,3,4,4,4,3,5,3,2,4,1,4,4,2,4,2,2,2,4,1,3,5,1,4,1,1,1,1,1,1,1,2,2,2,"DE","DE",NA,0,2,1,2,2,3,2,"Berlin","german",2,4,2,3,4,2,2.5,5,5,4.5,4,3,3.5,2,1,2.5,4,3,1,1,0,"Europe",1,0,1,0,1,0,0
2020-03-24,5330753,29,4,3,4,2,2,4,2,3,4,3,4,3,3,3,2,3,3,2,4,3,2,4,4,3,7,2,NA,NA,1,1,1,2,1,2,4,"DE","DE",NA,0,2,1,1,1,4,2,"Niedersachsen","german",3,4,3,3.25,3,2,3,4,3,3.75,2,3,2.75,2,3,2.25,4,3.5,0,0,0,"Europe",1,0,1,0,1,0,0
2020-03-24,5330799,31,2,3,3,5,4,3,4,2,2,2,4,1,4,4,2,1,2,1,4,4,1,4,4,1,7,2,NA,NA,1,1,1,1,1,1,3,"DE","DE",NA,0,2,1,1,1,3,2,"Nordrhein-Westfalen","german",2,4,5,3.75,4,2,2.25,5,5,4.5,4,3,3.75,3,4,3.75,5,3.75,0,1,0,"Europe",1,0,1,0,1,0,0
2020-03-24,5330838,31,4,4,4,2,4,5,4,2,2,3,2,1,5,1,1,1,3,2,2,2,2,5,3,2,8,2,NA,NA,1,1,1,1,2,2,3,"DE","DE",NA,0,2,1,2,2,4,2,"Nordrhein-Westfalen","german",5,5,5,5,3,4,2.5,4,4,4,2,2,2.5,1,4,3.25,4,2.75,0,1,0,"Europe",1,0,1,0,1,0,0
2020-03-24,5330899,29,3,2,3,5,5,3,5,4,1,3,3,4,5,1,3,3,5,1,5,5,1,5,5,1,1,1,1,1,1,1,1,1,1,3,6,"DE","DE",25,2,1,1,1,1,6,1,"Baden-Wuerttemberg","german",5,3,3,4,3,3,2.75,5,5,5,3,4,3.75,3,2,3.75,5,5,1,1,25,"Europe",1,0,1,0,1,0,0
2020-03-24,5330965,31,3,3,3,4,4,3,4,2,4,3,3,1,4,3,2,2,5,2,4,4,1,4,4,2,3,1,1,1,1,1,1,2,1,4,4,"DE","DE",8,0,1,1,2,2,4,2,"Bayern","german",3,4,4,3.75,3,3,2.75,5,4,4.25,3,3,3.25,3,4,3.75,4,4.25,1,0,8,"Europe",1,0,1,0,1,0,0
2020-03-24,5331300,41,3,4,4,4,5,2,5,1,1,5,4,2,3,1,3,1,4,1,5,4,1,5,5,1,1,1,1,1,1,1,1,2,1,11,2,"DE","DE",NA,0,2,1,3,3,2,1,"Sachsen","german",5,3,5,4,1,2,1.5,5,5,5,3,2,3.25,4,5,4.75,5,4.5,1,0,0,"Europe",1,0,1,0,1,0,0
2020-03-24,5331393,57,5,2,2,4,5,4,5,1,4,1,2,4,5,1,1,1,3,2,4,2,1,5,5,2,3,1,1,1,1,1,1,1,2,1,6,"DE","DE",NA,1,2,1,1,1,3,2,"Sachsen","german",5,5,5,5,5,4,4.25,5,4,4.75,1,4,2.75,2,5,4.25,4,3.25,1,1,0,"Europe",1,0,1,0,1,0,0
2020-03-24,5331450,36,2,4,4,3,2,5,4,3,1,3,4,4,2,4,4,3,4,2,5,4,1,4,5,2,4,1,1,1,1,1,1,1,1,4,3,"DE","DE",NA,0,2,1,2,3,4,3,"Sachsen","german",2,2,3,2.25,3,2,2.5,5,4,4.5,4,2,3.25,1,3,2.5,4,4.25,1,1,0,"Europe",1,0,1,0,1,0,0
2020-03-24,5331453,29,3,3,3,3,4,4,4,2,2,3,4,5,2,3,2,3,4,2,4,4,2,3,5,2,6,1,1,1,1,1,1,2,1,2,3,"DE","DE",NA,0,2,1,2,2,2,2,"Sachsen","german",3,4,3,3,3,2,3,4,4,4,3,3,3,2,4,3.5,4,4,1,0,0,"Europe",1,0,1,0,1,0,0
2020-03-24,5331470,45,3,3,3,4,4,2,4,2,4,2,5,3,5,1,1,1,3,1,3,4,1,4,3,1,6,1,1,1,1,1,1,1,1,2,4,"DE","DE",NA,0,2,1,2,2,4,2,"Sachsen","german",5,5,5,5,4,1,3,5,5,4.25,3,3,3.25,4,4,4,5,3.75,1,1,0,"Europe",1,0,1,0,1,0,0
2020-03-24,5331489,29,4,2,4,5,4,2,5,2,2,4,3,5,4,1,1,2,3,1,4,4,1,5,5,1,5,1,2,1,1,1,1,1,1,2,6,"DE","DE",NA,1,2,1,3,2,4,2,"Berlin","german",5,5,4,4.5,2,3,3,5,5,5,2,4,3.75,4,4,4.25,5,4,1,1,0,"Europe",1,0,1,0,1,0,0
